Nom,Niveau de stress,Accompagnement tuteur,Intérêt missions,Difficulté tâches,Respect délais,Temps conciliation,Anxiété charge travail,Soutien équipe,Compétences nécessaires,Clarté objectifs,Remarque,Semaine
Allison Hill,2,Oui,3,Trop faciles,Toujours,Oui,Souvent,1,Oui,Pas du tout clairs,Always bank price north first end prove fire enter capital population lead upon very act perform.,1
Noah Rhodes,1,Oui,1,Trop faciles,Toujours,Oui,Souvent,2,Non,Assez clairs,Figure somebody dinner age cover foreign ten whom evidence political hundred wonder.,1
Angie Henderson,8,Partiellement,3,Trop faciles,Toujours,Non,Parfois,3,Oui,Assez clairs,Interview trade knowledge city technology late seem style everyone sing machine dream key require.,1
Daniel Wagner,6,Oui,1,Adaptées,Toujours,Non,Parfois,5,Non,Très clairs,Away real physical big significant sure outside building worker site.,1
Cristian Santos,8,Partiellement,1,Adaptées,Toujours,Non,Souvent,5,Non,Assez clairs,Bill activity expect long future whole education technology box assume man officer rather charge.,1
Connie Lawrence,2,Oui,2,Adaptées,Toujours,Oui,Jamais,4,Non,Pas du tout clairs,Production hundred set already because education break significant ten stay ability.,1
Abigail Shaffer,6,Oui,3,Adaptées,Toujours,Non,Souvent,1,Oui,Assez clairs,That wide avoid sit enter perhaps however bag forget purpose move west phone.,1
Gina Moore,3,Non,4,Adaptées,Rarement,Oui,Souvent,3,Oui,Assez clairs,Most tree store either station loss southern second full boy while cell.,1
Gabrielle Davis,1,Non,4,Adaptées,Toujours,Oui,Souvent,3,Oui,Pas du tout clairs,Would music sometimes body term capital group small open.,1
Ryan Munoz,7,Partiellement,4,Trop faciles,Souvent,Oui,Jamais,5,Non,Pas du tout clairs,Suddenly window stand party poor ago upon stop environment Congress reflect finally fund.,1
Monica Herrera,10,Non,3,Trop faciles,Toujours,Non,Jamais,1,Oui,Assez clairs,Single baby plan most create simply go when population challenge bill eight.,1
Jamie Arnold,3,Partiellement,4,Trop difficiles,Toujours,Non,Parfois,5,Non,Peu clairs,Behavior provide meet adult final week game she court yourself choice fast small medical music.,1
Lisa Hensley,9,Oui,1,Trop difficiles,Rarement,Non,Souvent,3,Oui,Peu clairs,Movie place offer responsibility fact ability good number cost property model guess well name skill medical.,1
Michele Williams,7,Oui,4,Trop faciles,Rarement,Non,Souvent,2,Oui,Peu clairs,Guy song quickly well central parent sit alone attack sing hand him note.,1
Dylan Miller,9,Partiellement,2,Trop faciles,Souvent,Oui,Souvent,5,Oui,Peu clairs,Generation wait thus suffer economy play nearly by field move.,1
Brian Ramirez,8,Oui,1,Adaptées,Souvent,Oui,Jamais,2,Oui,Très clairs,Health would newspaper hand certain own husband American although require sound mind chance.,1
Holly Wood,8,Oui,5,Trop faciles,Toujours,Non,Souvent,2,Non,Pas du tout clairs,Degree still even no even body scientist dream anything toward difficult do beyond form.,1
Derek Zuniga,4,Partiellement,2,Trop difficiles,Souvent,Non,Souvent,3,Non,Pas du tout clairs,Artist brother fill if maybe time region financial brother trouble.,1
Lisa Jackson,2,Oui,2,Trop faciles,Souvent,Oui,Souvent,5,Oui,Assez clairs,Drive attack order land public the each.,1
Carla Gray,1,Oui,1,Trop faciles,Toujours,Oui,Parfois,1,Oui,Peu clairs,Letter sort reveal seven floor data fine animal ten scientist administration network once result.,1
Margaret Hawkins DDS,8,Oui,5,Trop faciles,Rarement,Non,Jamais,4,Non,Assez clairs,Discover top realize note even under range.,1
Patty Perez,2,Oui,4,Adaptées,Souvent,Non,Parfois,1,Oui,Très clairs,Guess want result many pattern leader career according.,1
Ethan Adams,7,Partiellement,3,Trop faciles,Toujours,Oui,Jamais,5,Non,Assez clairs,Hear leg quickly real character young lot far turn beat story role give gas.,1
Tommy Walter,7,Oui,3,Adaptées,Toujours,Oui,Parfois,5,Oui,Très clairs,White measure manager range indeed style major bar air set factor ever Mrs.,1
Matthew Foster,9,Oui,1,Trop faciles,Toujours,Non,Parfois,4,Oui,Pas du tout clairs,Official not magazine gas radio any between six least buy tax kid a when dark.,1
Judy Baker,1,Oui,4,Trop faciles,Souvent,Non,Parfois,3,Non,Pas du tout clairs,Far approach today west manager both matter order month within would value car.,1
Justin Baker,3,Oui,3,Trop faciles,Toujours,Oui,Souvent,3,Oui,Très clairs,Source wonder west attention let executive suddenly force network account.,1
Stephanie Ross,10,Non,5,Trop difficiles,Toujours,Oui,Souvent,1,Oui,Très clairs,Economic left sound cause activity store work candidate statement head piece popular old else spend.,1
Zachary Hicks,10,Oui,2,Adaptées,Toujours,Oui,Souvent,5,Oui,Très clairs,Student special wife my compare also argue own after long.,1
Anthony Rodriguez,7,Partiellement,5,Trop difficiles,Rarement,Non,Parfois,2,Non,Assez clairs,Wall close threat church big day couple recent reveal role enter example down.,1
Rebecca Henderson,5,Non,2,Trop difficiles,Rarement,Non,Parfois,3,Oui,Très clairs,Change note old who beyond black single size test they there enough pressure.,1
James Ferrell,8,Partiellement,5,Trop faciles,Toujours,Oui,Souvent,3,Oui,Peu clairs,Education source figure whom poor interest heavy give edge level.,1
Tricia Valencia,2,Oui,3,Adaptées,Toujours,Non,Souvent,3,Oui,Peu clairs,Seven collection share majority shake because pass plant idea whole.,1
Nathan Maldonado,2,Oui,3,Trop faciles,Toujours,Oui,Parfois,3,Oui,Peu clairs,Many debate value former able public trade structure protect chance bed memory rich big eight.,1
Debra Davidson,4,Partiellement,3,Trop difficiles,Souvent,Non,Jamais,1,Non,Peu clairs,Bad know of because material firm wonder seat adult idea.,1
Jeffrey Chavez,1,Oui,3,Trop faciles,Rarement,Non,Jamais,4,Non,Très clairs,Wonder practice when mean reason follow break good lose.,1
Sherri Baker,2,Oui,2,Trop difficiles,Toujours,Non,Souvent,5,Oui,Pas du tout clairs,Determine degree forward guess despite sell most you statement wonder across protect.,1
Cassandra Gaines,3,Oui,3,Adaptées,Toujours,Non,Jamais,2,Oui,Peu clairs,Hour natural be decide scientist rise deep town surface central contain pattern education boy provide note.,1
Elizabeth Fowler,9,Non,5,Trop difficiles,Toujours,Oui,Jamais,2,Non,Très clairs,Save low grow despite maintain as hard amount deal.,1
Brittany Farmer,3,Partiellement,3,Adaptées,Rarement,Oui,Parfois,2,Oui,Pas du tout clairs,Admit mission training range step painting concern top.,1
Paula Moreno,1,Non,2,Trop faciles,Souvent,Non,Parfois,2,Oui,Très clairs,Arm similar compare manager action sure us million crime six member recognize past purpose growth pretty.,1
Fred Smith,4,Non,3,Adaptées,Toujours,Non,Parfois,5,Non,Peu clairs,Choose blood turn put professional pass share must amount lot per manage.,1
Sherry Decker,1,Oui,3,Trop faciles,Rarement,Non,Jamais,1,Non,Peu clairs,Support author class direction first fact environment popular even know television guy only.,1
Anthony Humphrey,6,Non,5,Trop difficiles,Toujours,Non,Souvent,2,Non,Très clairs,Include table consumer face PM pay evening performance could affect anyone.,1
Angelica Tucker,7,Oui,5,Trop difficiles,Rarement,Oui,Parfois,4,Oui,Peu clairs,Group care together magazine join far recent couple cost girl run every.,1
Philip Cannon,10,Non,1,Trop difficiles,Souvent,Non,Souvent,4,Non,Pas du tout clairs,Reflect interview bit society nearly measure price move outside value total nearly you suddenly.,1
